I_N_S,I_N_Sy,I_N_J,I_N_Jy,I_B_N_1,I_B_N_1y,I_B_N_2,I_B_N_2y,I_Sk_J,I_Sk_Jy,I_Sk_B,I_Sk_By
0.178182774605749,0.603122591297804,0.753432914333308,0.39279699868857,0.142335806419796,0.496332379898227,0.1710463968554907,0.778996664803633,0.236130441612146,0.253434740837343,0.951396727635372,0.294374002272171
0.194833185386507,0.595250358908043,0.734926775453247,0.404618132801455,0.137652650074704,0.529919962593197,0.161117769327152,0.753290447018598,0.243098883275433,0.253507800998733,0.924620178485974,0.280487092095987
0.210559385125682,0.587376300014247,0.713651656456509,0.41445751003664,0.135734820838219,0.567465579531465,0.156688475124842,0.731538610468791,0.253098883275433,0.253507800998733,0.918249332412775,0.227114817696632
0.230913946088907,0.575558818909431,0.693300748501354,0.424298713775859,0.136578665702273,0.610945508078628,0.153035467055347,0.707815976065491,0.263934143570523,0.251631981355047,0.902650987956033,0.165819168794544
0.261427522493397,0.567713984080191,0.66924569036373,0.438085166230132,0.136501952532813,0.652447332756158,0.149386111993921,0.682117064296595,0.273098883275433,0.253507800998733,0.865631404179772,0.193413991751508
0.295626984040008,0.56580528736388,0.649822646458226,0.445951919107789,0.140118430521613,0.695932740815425,0.146668273990217,0.65246742430054,0.323934143570523,0.251631981355047,0.808293789520981,0.213063522157321
0.33075430963627,0.561922139786007,0.626699105378324,0.455787643334904,0.147428099668672,0.741401732256427,,,0.371996770740867,0.249750682199257,0.743577098561811,0.224793331068468
0.36495742419095,0.558037165704099,0.6026440472407,0.469574095789178,0.155680244897661,0.77699116337348,,,0.421896860970166,0.253801868148327,0.688150007123366,0.210849799267207
0.391763197404903,0.55611385695551,0.575823661994469,0.479402514000153,,,,,0.482887483698452,0.257874972145814,0.631776786594922,0.20876210515549
0.417652065593413,0.550236166971693,0.554548542997732,0.489241891235338,,,,,0.542964854409364,0.256017417542475,0.558786032358346,0.196760147143165
0.445393008873157,0.542385852630348,0.528648715785013,0.501048413315945,,,,,0.595630271747271,0.264026637734843,0.499636525697085,0.196643250884941
0.4731339521529,0.534535538289004,0.506460344770902,0.504957131950305,,,,,0.684318001658466,0.283964755778146,0.45064968748516,0.198522723536696
0.500882201448783,0.522732669216466,0.479639959524671,0.51478555016128,,,,,0.731449111771088,0.286034184849514,0.388716588674944,0.204329179863158
0.528619491720457,0.516858632240719,0.448194866062459,0.526581113217679,,,,,0.780428643966875,0.288107266928953,0.340646655488462,0.210163033750142
0.559144027149156,0.503084965314688,0.42230234486588,0.534435080567093,,,,,,,0.296277219476378,0.214027916287667
0.588740698528203,0.49128574925022,0.397344993735091,0.536362042323752,,,,,,,0.271930980065535,0.220027916287667
0.622034214073579,0.479493839201891,0.373304547629746,0.542243385315638,,,,,,,0.256930980065535,0.223027916287667
0.650713980427183,0.463740241902195,0.342805583257533,0.542183110682492,,,,,,,0.245930980065535,0.226027916287667
0.68493901303028,0.447997603626707,0.314144081944277,0.548055321154205,,,,,,,0.23630980065535,0.228027916287667
0.710838840242998,0.436191081546099,0.284565675605577,0.549973150390689,,,,,,,0.2318030980065535,0.240343437553654
0.736742320463786,0.422408282099895,0.264233032690769,0.549932967301925,,,,,,,,
,,0.241113144618937,0.557792414163443,,,,,,,,
,,0.217993256547104,0.565651861024961,,,,,,,,
,,0.1985702126416,0.573518613902618,,,,,,,,
,,0.18099559081926,0.581389019788345,,,,,,,,
,,0.162496757955338,0.589257599170037,,,,,,,,
,,0.148622633307397,0.595159033706306,,,,,,,,
,,0.147753217386857,0.56551304671832,,,,,,,,
,,0.147811665515969,0.533892608868773,,,,,,,,
,,0.149725841744384,0.498323269296102,,,,,,,,
,,0.155314944090712,0.47461889993315,,,,,,,,
