,A1,A2,A3,A4,A5,A6,A7,A8,A9,B1,B2,B3,D1,D3,D4,D5
x,0.145798858069678,0.1572866004011,0.162460227874643,0.762645800684574,0.921911582592686,0.93353637848086,0.937102726239922,0.31751946140049,0.24751946140049,0.148863731839984,0.233030980065535,0.858895257299624,0.171347996507724,0.992682805656318,0.181347996507724,0.259290512772743
y,0.632821437312555,0.6286952836012815,0.609020372826004,0.408625482653691,0.345837470364972,0.505822894862775,0.707428757210125,0.721975035342853,0.69375035342853,0.464724727576923,0.24905343437553654,0.307669453911824,0.820737542329231,0.278605792940197,0.810737542329231,0.223836242954261
